G,GS,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_YPG,Pass_TD,Pass_T%,Pass_Int,Pass_I%,Pass_Lg,Pass_FD,Pass_20+,Sack,Loss,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_YPG,Rush_Lg,Rush_TD,Rush_FD,Rec_10+,Rec,Rec_Yds,Rec_Avg,Rec_YPG,Rec_Lg,Rec_TD,Rec_FD,Rec_20+,Rec_Tar,Rec_YAC,Player
62,51,"1,578","1,000",63.4,"11,764",7.5,189.7,67,4.2,34,2.2,91,538,160,113,662,91.1,524,"2,503",4.78,40.4,42,41,216,86,1,3,3.00,0.0,3,0,0,0,2,9,hurts jalen
86,77,"2,112","1,362",64.5,"15,887",7.5,184.7,125,5.9,45,2.1,83t,706,195,169,859,98.0,875,"5,258",6.01,61.1,79t,29,316,163,0,0,0.00,0.0,0,0,0,0,2,0,lamar jackson
77,66,"2,077","1,314",63.3,"14,823",7.1,192.5,84,4.0,57,2.7,84t,409,107,172,"1,255",86.6,263,"1,222",4.65,15.9,32,10,82,22,2,11,5.50,0.1,13,0,1,0,3,6,geno smith
49,37,"1,423",891,62.6,"9,937",7.0,202.8,59,4.1,24,1.7,78t,468,124,105,577,90.2,146,621,4.25,12.7,23,5,40,21,1,0,0.00,0.0,0,0,0,0,1,8,minshew gardner
62,62,"2,422","1,613",66.6,"17,223",7.1,277.8,114,4.7,42,1.7,72t,850,196,130,871,95.7,224,911,4.07,14.7,36,11,81,36,3,0,0.00,0.0,10,0,1,0,3,22,herbert justin
188,188,"5,665","3,668",64.7,"43,653",7.7,232.2,334,5.9,106,1.9,80t,815,235,527,"3,464",100.0,981,"5,307",5.41,28.2,55,29,330,69,5,21,4.20,0.1,17,1,2,0,5,11,wilson russell
16,16,527,315,59.8,"2,877",5.5,179.8,11,2.1,10,1.9,48,133,26,62,477,73.7,39,253,6.49,15.8,26,0,18,9,0,0,0.00,0.0,0,0,0,0,0,0,bryce young
19,17,503,322,64.0,"3,544",7.0,186.5,14,2.8,12,2.4,71t,173,41,40,230,84.1,69,257,3.72,13.5,23,5,22,7,1,-6,-6.00,-0.3,0,0,0,0,1,0,ridder desmond
40,38,958,578,60.3,"6,674",7.0,166.8,40,4.2,30,3.1,64,295,105,135,908,82.3,356,"2,220",6.24,55.5,67t,14,130,73,0,0,0.00,0.0,0,0,0,0,0,0,fields justin
21,14,502,312,62.2,"2,920",5.8,139.0,15,3.0,13,2.6,69,151,34,36,243,77.3,91,496,5.45,23.6,44,6,38,19,0,0,0.00,0.0,0,0,0,0,0,0,dobbs joshua
52,52,"1,895","1,288",68.0,"14,083",7.4,270.8,97,5.1,37,2.0,82t,686,157,148,"1,040",98.6,183,605,3.31,11.6,23t,10,64,20,0,0,0.00,0.0,0,0,0,0,0,0,joe burrow
34,33,993,566,57.0,"6,293",6.3,185.1,23,2.3,25,2.5,79,289,85,113,885,73.2,93,498,5.35,14.6,52t,5,24,18,1,2,2.00,0.1,2t,1,1,0,2,0,zach wilson
11,10,343,213,62.1,"2,218",6.5,201.6,12,3.5,7,2.0,50,107,24,24,173,83.9,17,11,0.65,1.0,3,1,7,0,0,0,0.00,0.0,0,0,0,0,0,0,aidan oconnell
25,24,713,446,62.6,"4,474",6.3,179.0,13,1.8,13,1.8,72t,214,53,50,355,78.8,97,291,3.00,11.6,23,4,35,11,0,0,0.00,0.0,0,0,0,0,0,0,pickett kenny
9,9,255,149,58.4,"1,808",7.1,200.9,8,3.1,4,1.6,61t,81,32,28,185,84.2,25,57,2.28,6.3,11,1,7,2,0,0,0.00,0.0,0,0,0,0,0,0,levis will
92,58,"1,730","1,068",61.7,"12,135",7.0,131.9,65,3.8,29,1.7,84t,112,35,177,"1,006",88.3,404,"2,268",5.61,24.7,49,19,125,11,2,10,5.00,0.1,6,0,0,0,3,9,tyrod taylor
65,65,"2,239","1,492",66.6,"15,647",7.0,240.7,94,4.2,46,2.1,88t,757,189,149,"1,082",92.2,425,"2,448",5.76,37.7,57,26,142,88,0,7,0.00,0.1,7,0,0,0,0,7,murray kyler
120,107,1,1,100.0,4,4.0,0.0,0,0.0,0,0.0,4,0,0,0,0,83.3,"2,065","8,904",4.31,74.2,60t,71,500,109,356,"2,649",7.44,22.1,83t,14,112,6,468,"2,767",elliott ezekiel
74,74,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"1,201","5,211",4.34,70.4,78t,35,236,95,288,"2,100",7.29,28.4,65,12,86,14,396,"2,219",barkley saquon
,,,,,,,,,,,,,,,,,,642,"2,643",4.12,43.3,40,22,150,61,172,"1,283",7.46,21.0,73t,7,58,9,213,"1,305",antonio gibson
,,,,,,,,,,,,,,,,,,868,"4,140",4.77,56.7,82t,21,188,97,151,"1,096",7.26,15.0,45,3,43,12,216,"1,109",sanders miles
,,,,,,,,,,,,,,,,,,,,,,,,,,1,-2,-2.00,--,0,0,--,--,--,--,cook dalvin
56,31,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,39.6,593,"2,729",4.60,48.7,57t,23,130,69,195,"1,412",7.24,25.2,63t,8,58,11,254,"1,574",swift dandre
74,65,1,0,0.0,0,0.0,0.0,0,0.0,1,100.0,0,0,0,0,0,0.0,"1,134","4,624",4.08,62.5,80t,39,264,100,171,"1,357",7.94,18.3,32,4,67,9,218,"1,257",montgomery david
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jones aaron
101,70,1,1,100.0,13,13.0,0.1,0,0.0,0,0.0,13,1,0,0,0,118.8,"1,315","5,829",4.43,57.7,74t,54,311,102,505,"4,219",8.35,41.8,54,23,192,21,639,"4,016",kamara alvin
